,Brand,Processor,Operating_System,Ram_1,SSD,HDD,Touch_Screen,MRP,Price
443,MSI,i7,win10,16,512,0,no,"₹1,07,790",107790
444,DELL,i5,win11,16,512,0,yes,"₹75,990",75990
445,ASUS,i5,win10,16,512,0,yes,"₹95,990",95990
446,Lenovo,r5,win11,8,512,0,no,"₹38,705",38705
447,ASUS,r7,win11,16,1000,0,no,"₹85,990",85990
448,acer,i5,win11,8,512,0,no,"₹61,999",61999
449,HP,Celeron,win11,8,256,0,no,"₹28,990",28990
450,Lenovo,r3,win11,8,512,0,no,"₹35,590",35590
451,ASUS,r9,win11,16,1000,0,no,"₹1,50,990",150990
452,Lenovo,i5,win10,8,512,0,no,"₹54,990",54990
453,ASUS,i7,win11,16,512,0,no,"₹56,990",56990
454,ASUS,i5,win11,8,256,0,no,"₹45,990",45990
455,ASUS,i3,win11,8,512,0,no,"₹38,216",38216
456,Lenovo,i3,win11,8,256,0,no,"₹36,990",36990
457,Lenovo,i3,win11,8,512,0,no,"₹39,990",39990
458,MSI,i7,win11,8,512,0,no,"₹79,990",79990
459,DELL,i3,win10,4,256,1000,no,"₹43,990",43990
460,RedmiBook,i5,win11,8,512,0,no,"₹39,990",39990
461,ASUS,r9,win11,16,1000,0,no,"₹1,96,990",196990
462,HP,r7,win11,16,1000,0,no,"₹1,08,250",108250
463,ASUS,i3,win10,4,0,1000,no,"₹28,990",28990
464,MSI,i9,win11,32,2000,0,no,"₹3,89,990",389990
465,DELL,i5,win11,16,512,0,no,"₹67,224",67224
466,Lenovo,r5,win11,8,512,0,no,"₹38,705",38705
467,ASUS,r7,win11,16,1000,0,no,"₹85,990",85990
468,acer,r7,win10,16,256,1000,no,"₹1,14,990",114990
469,ASUS,i5,win10,4,0,1000,no,"₹61,249",61249
470,Lenovo,r3,win11,8,512,0,no,"₹35,590",35590
471,ASUS,r9,win11,16,1000,0,no,"₹1,50,990",150990
472,HP,i5,win11,16,512,0,no,"₹69,990",69990
473,Lenovo,r5,DOS,8,512,0,no,"₹69,990",69990
474,Lenovo,i5,win11,16,512,0,no,"₹79,990",79990
475,Lenovo,r3,win10,8,256,0,no,"₹37,990",37990
476,Lenovo,r7,win11,8,512,0,no,"₹73,490",73490
477,ASUS,r9,win11,16,1000,0,no,"₹1,94,990",194990
478,Infinix,i5,win11,8,512,0,no,"₹36,990",36990
479,ASUS,Celeron,win11,4,128,0,yes,"₹29,980",29980
480,Lenovo,i3,win11,8,256,0,no,"₹36,990",36990
481,RedmiBook,i5,win11,8,512,0,no,"₹39,990",39990
482,ASUS,i5,win10,16,512,0,yes,"₹95,990",95990
483,DELL,r3,win11,8,512,0,no,"₹41,600",41600
484,DELL,i5,win11,16,512,0,no,"₹67,224",67224
485,ASUS,i5,win11,8,512,0,no,"₹61,986",61986
486,ASUS,r9,win11,16,1000,0,no,"₹1,96,990",196990
487,Lenovo,r5,win11,8,512,0,no,"₹38,705",38705
488,ASUS,i5,win10,4,0,1000,no,"₹61,249",61249
489,HP,r3,win11,8,256,0,no,"₹38,999",38999
490,ASUS,r7,win11,16,1000,0,no,"₹85,990",85990
491,Lenovo,r3,win11,8,512,0,no,"₹35,590",35590
492,Lenovo,i3,win11,4,256,0,no,"₹31,990",31990
493,Lenovo,r3,win10,8,256,0,no,"₹37,990",37990
